SMILES;CNN_VS;Vina pKi;Target protein
CCOc1c(N2CCOCC2)cn[nH]c1=O;4.6124384;4.743143182;Acetylcholinesterase
CCOC(=O)c1nc(C)[nH]c1C(=O)OCC;4.6019376;4.822101571;Acetylcholinesterase
COC(=O)N1CC=CC1(C)C(=O)NCC1CC1;4.9156224;5.281047203;Acetylcholinesterase
O=C(NC1(C(=O)[O-])CCCC1)C(Cl)Cl;4.0740618;#NUM!;Acetylcholinesterase
CCC/C=C1\OC(=O)C2=C1CC[C@@H](O)[C@@H]2O;5.090355;5.481968101;Acetylcholinesterase
O=C(N/N=C/c1ccc([N+](=O)[O-])o1)C1CC1;3.1168195;5.223943368;Acetylcholinesterase
C[NH+]1CCC=C(c2nc(C3CCCC3)no2)C1;5.0783518;6.431583718;Acetylcholinesterase
CCc1oc(C(=O)[O-])cc1C[NH+](CC)CC;4.5077622;4.61342583;Acetylcholinesterase
O=C(NC1CCS(=O)(=O)C1)c1cccnc1;4.9797594;5.383270116;Acetylcholinesterase
COCCn1c(=S)[nH]c2ncccc2c1=O;4.6171722;4.98918316;Acetylcholinesterase
Cc1ccc(S(=O)(=O)n2ccc(=O)[nH]2)cc1;4.0041594;5.942323704;Acetylcholinesterase
CCCCOC(=O)Cc1nnc(O)nc1O;3.2094857;4.801656988;Acetylcholinesterase
CC(=[NH2+])Nc1ccc(c2csc(N)n2)cc1;5.570752;5.890859755;Acetylcholinesterase
COCC(C)NC(=O)N(C)Cc1cc(C)on1;4.389383;4.894010103;Acetylcholinesterase
CCCS(=O)(=O)NCC(O)C1CCCC1;3.6775452;4.729748456;Acetylcholinesterase
C(=N/Nc1ccc2nncn2n1)\c1ccco1;3.8474432;5.982507884;Acetylcholinesterase
CCC(=O)NNc1ncnc2c1cnn2C;3.942324;5.206318728;Acetylcholinesterase
O=C([O-])[C@@H]1C[NH+](C2CCCCC2)C[C@H]1C1CC1;5.1574872;5.809081424;Acetylcholinesterase
O=C(NCCCn1ccnc1)c1ccco1;4.5636468;4.828446441;Acetylcholinesterase
CC(C)Cn1c(=O)n(C)c(=O)c2nc[nH]c21;5.530082;5.426274238;Acetylcholinesterase
Cc1cc(NCCF)n2ncc(C#N)c2n1;5.256627;4.934899268;Acetylcholinesterase
C/C(=C\C(=O)c1c(O)cc(C)oc1=O)N(C)C;4.6900272;5.308541641;Acetylcholinesterase
O=c1cc(CO)c2cccc([N+](=O)[O-])c2[nH]1;4.0741984;6.036791776;Acetylcholinesterase
N#CCCn1[nH]c(=O)c(Cl)c(Cl)c1=O;2.9271924;4.5267126;Acetylcholinesterase
CCN1C(=O)CSC1C1=CCC[NH+](C)C1;5.266566;4.691679233;Acetylcholinesterase
